Feature ID	Area	Feature	User Story	Expected Behavior	Implementation Evidence	Existing Automated Coverage	Implementation Status	Test Status	Defect Log	Fix Status	Retest Status	Notes
F012	Persistence and migration	Remote change refresh	As a user with iCloud changes, I want Cubby to refresh after remote store changes.	RemoteChangeHandler debounces NSPersistentStoreRemoteChange, processes pending changes, posts private/shared scope flags, and AppStore refreshes on the notification.	Cubby/Services/RemoteChangeHandler.swift; Cubby/AppData/AppStore.swift	RemoteChangeHandlerTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed	CloudSyncCoordinator also marks sync complete on remote-change notification; real CloudKit remote delivery still needs manual/integration validation.
F013	Persistence and migration	Orphaned photo cleanup	As a user, I want unused local photo files cleaned up.	On startup, DataCleanupService reads active Core Data photoFileName values and deletes files in Documents/ItemPhotos that are no longer referenced.	Cubby/Services/DataCleanupService.swift; Cubby/CubbyApp.swift	AppStorePhotoTests	Documented from code	Unit test passed 2026-06-21 on iPhone 16e simulator preserving active photo metadata and deleting orphan file	None recorded	Not needed	Passed focused unit retest	Photo files are local only; startup invocation remains covered by code inspection.
F014	CloudKit sync	CloudKit mode resolution	As a developer or tester, I want explicit launch flags for CloudKit behavior.	UI tests and XCTest use in-memory non-CloudKit stores; DISABLE_CLOUDKIT uses a persistent local store; normal launches use CloudKit; strict startup and schema init flags are honored.	Cubby/Services/CloudKitSyncSettings.swift	CloudKitSyncSettingsTests; CloudKitStartupBehaviorTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed	Forced availability launch args support account-state testing.
F015	CloudKit sync	Cloud sync state	As a user, I want sync state to reflect iCloud availability.	CloudSyncState starts checking when enabled, disabled when off, maps available to synced, temporary/error to offline, and no-account/restricted/unknown to iCloud unavailable.	Cubby/Services/CloudSyncState.swift; Cubby/Services/CloudSyncCoordinator.swift	CloudSyncStateTests; CloudSyncCoordinatorTests	Documented from code	Unit tests initially failed, then passed 2026-06-21 on iPhone 16e simulator	D001: CloudSyncCoordinator polling task could still perform its initial refresh after stop() if stop happened before the scheduled task executed; tests also used fixed sleeps that made the intended behavior race-prone.	Fixed in Cubby/Services/CloudSyncCoordinator.swift; tests hardened in CubbyTests/CloudSyncCoordinatorTests.swift	Passed after focused and full unit retest	Need locate any visible sync UI before manual testing.
F016	Home navigation	Last used home restore	As a returning user, I want Cubby to reopen my last selected home.	MainNavigationView restores selectedHome from lastUsedHomeId when available, otherwise uses preferredHomeForLaunch, then updates canAddItem.	Cubby/Views/MainNavigationView.swift; Cubby/Services/HomeLaunchSelectionService.swift	HomeLaunchSelectionServiceTests; MainNavigationSelectionTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed	Selection is also synchronized when homes change; UI-level launch behavior still needs simulator validation.
F017	Home navigation	Home picker switch home	As a user with multiple homes, I want to switch between homes quickly.	The home title opens a popover listing homes; selecting one closes the popover, stores lastUsedHomeId, clears selectedLocation if it belongs to another home, and clears search via HomeView on selected home change.	Cubby/Views/Home/HomeView.swift; Cubby/Views/MainNavigationView.swift	HomePickerEditTests; CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator switching from Main Home to Beach House	None recorded	Not needed	Passed partial	Clearing selectedLocation/search on home change still needs direct assertion.
F018	Home navigation	Home picker utility actions	As a user, I want Pro, manage homes, and add-home actions near home selection.	The picker includes Cubby Pro, Manage Homes, and Add New Home rows; Pro opens status; Manage Homes enables edit mode; Add New Home checks free-tier gates before showing AddHomeView.	Cubby/Views/Home/HomeView.swift; Cubby/Views/Home/AddHomeView.swift	HomePickerEditTests; ProPaywallTests partially; CoreUserBehaviorUITests	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator for Manage Homes entry/exit and Add New Home entry	None recorded	Not needed	Passed partial	Cubby Pro status action still needs direct UI validation.
F019	Home management	Add home	As a user, I want to add another home when allowed.	AddHomeView trims the name, disables Save while blank, checks FeatureGate, creates the home through AppStore, selects the new home, and dismisses.	Cubby/Views/Home/AddHomeView.swift; Cubby/AppData/AppStore.swift; Cubby/AppData/CoreDataAppRepository.swift	FeatureGateTests; CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator adding Cabin while Pro	None recorded	Not needed	Passed partial	Repository-created Unsorted root location inferred by empty-state behavior; blank-name disabled state still needs direct assertion.
F020	Home management	Free-tier home limit	As a free user, I want clear upgrade guidance when I hit the home limit.	Free users with one owned home are denied additional home creation with homeLimitReached; users already over the owned-home limit are denied with overLimit; AddHomeView offers Upgrade, Restore Purchases, or Cancel.	Cubby/Services/FeatureGate.swift; Cubby/Views/Home/AddHomeView.swift	FeatureGateTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Gate logic is covered; AddHomeView alert/paywall UI still needs direct validation.
F021	Home management	Delete owned home	As a user, I want to delete an owned home only after confirmation.	In Manage Homes edit mode, deleting an owned home asks for confirmation, deletes the home and all items, refreshes selection, removes hidden shared-home state, and deletes associated local photos.	Cubby/Views/Home/HomeView.swift; Cubby/AppData/AppStore.swift; Cubby/AppData/CoreDataAppRepository.swift	HomePickerEditTests; AppStoreHomeDeletionTests	Documented from code	UI confirmation test and unit cleanup tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Collaborator shared homes use leave instead of delete; destructive confirm path still needs end-to-end UI deletion validation.
F022	Home management	Shared home leave	As a collaborator, I want to leave a shared home without deleting the owner's data.	Manage Homes uses a Leave Shared Home confirmation for shared homes not owned by the current user; AppStore calls leaveSharedHome, hides the home locally, and refreshes selection.	Cubby/Views/Home/HomeView.swift; Cubby/AppData/AppStore.swift; Cubby/Services/HomeSharingService.swift	HomePickerEditTests; HomeSharingServiceTests; AppStoreHomeDeletionTests	Documented from code	UI confirmation and unit behavior tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Owners cannot leave their own share; confirming the destructive leave action end-to-end still needs direct UI validation.
F023	Home view	Item grouping by location	As a user, I want home items grouped by storage location path.	HomeView groups selected-home items by storageLocationID, hides empty locations, sorts sections by full path, and sorts items alphabetically inside each section.	Cubby/Views/Home/HomeView.swift	CubbySnapshotTests indirectly	Documented from code	UI snapshot and section-collapse tests passed 2026-06-21 on iPhone 16e simulator for visible grouped seeded items	None recorded	Not needed	Passed partial	Empty locations remain available in location management and pickers; sort order needs direct assertion if critical.
F024	Home view	Location section collapse	As a user with many items, I want to collapse location sections.	When not searching, a long press on a section title collapses it, showing item count and an expand button; collapsed state clears when the selected home changes; search disables collapse.	Cubby/Views/Home/HomeView.swift; Cubby/Views/Home/LocationSectionHeader.swift	HomeSectionCollapseUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed	Accessibility action and search-disabled collapse behavior still need direct validation.
F025	Home view	Home empty state	As a user with no items, I want a useful empty message.	When the selected home has no displayed sections and no search query, HomeView shows a "No Items" ContentUnavailableView.	Cubby/Views/Home/HomeView.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator using SEED_EMPTY_HOME	None recorded	Not needed	Passed	SEED_EMPTY_HOME exercises this state.
F026	Home view	Inline home search	As a user, I want to filter the current home from the main screen.	The navigation search text filters displayed home sections by item title or description only; no-results state mentions the trimmed query; changing homes clears the query.	Cubby/Views/MainNavigationView.swift; Cubby/Views/Home/HomeView.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator filtering to Passport and restoring list after close	None recorded	Not needed	Passed partial	No-results copy and search-clears-on-home-change still need direct validation; dedicated SearchView includes tags while inline search does not.
F027	Home view	Add item toolbar button	As a user, I want the bottom toolbar to either add an item or cancel search based on context.	The toolbar shows xmark while search is engaged and clears/dismisses search; otherwise it shows plus, checks item creation gates for the selected home, then opens AddItemView.	Cubby/Views/MainNavigationView.swift	ProPaywallTests; CoreUserBehaviorUITests	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator for opening AddItemView, item-limit paywall, and search cancel/close behavior	None recorded	Not needed	Passed partial	No-home disabled state still needs direct validation.
F028	Location management	Default Unsorted location	As a user, I want every home to have a fallback storage location.	Repository createHome creates an "Unsorted" root CDStorageLocation assigned to the private store; preferred-location fallback selects Unsorted for the current home.	Cubby/AppData/CoreDataAppRepository.swift; Cubby/Services/LastUsedLocationService.swift	CoreDataAppRepositoryTests; LastUsedLocationServiceTests; CoreUserBehaviorUITests	Documented from code	Unit and UI tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Repository fallback is unit-covered and empty-home item creation verified the preferred location path.
F029	Location management	Add root location	As a user, I want to create top-level storage locations in a home.	AddLocationView trims non-empty names, creates a location through AppStore for the selected home, dismisses on success, and shows localized errors for failures.	Cubby/Views/Home/AddLocationView.swift; Cubby/AppData/AppStore.swift; Cubby/AppData/CoreDataAppRepository.swift	CoreDataAppRepositoryTests; StorageLocationTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Repository creation is covered; AddLocationView root-location UI still needs direct validation.
F030	Location management	Add nested location	As a user, I want to model shelves, drawers, and nested storage.	AddLocationView can create a child under a parent, shows "Inside" context, and repository sets depth and parentLocation while preserving the parent's persistent store.	Cubby/Views/Home/AddLocationView.swift; Cubby/AppData/CoreDataAppRepository.swift	StorageLocationTests; StorageLocationPickerUITests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	UI verified child creation from picker; max nesting depth and duplicate validation remain unit-level.
F031	Location management	Location depth limit	As a user, I should not be able to create locations deeper than the app supports.	Repository denies creating a location when parent depth is at maxDepth - 1; LocationDetail hides Add Nested Location at max depth.	Cubby/AppData/CoreDataAppRepository.swift; Cubby/Views/Home/LocationDetailView.swift	StorageLocationTests; CoreDataAppRepositoryTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Error behavior is unit-covered; max-depth UI hiding still needs direct validation.
F032	Location management	Duplicate same-level location prevention	As a user, I should not accidentally create duplicate locations at the same level.	Repository trims the draft name and denies creating a location with a case-insensitive duplicate sibling under the same parent/home.	Cubby/AppData/CoreDataAppRepository.swift	CoreDataAppRepositoryTests; StorageLocationTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed	Duplicate sibling prevention is repository/unit covered.
F033	Location management	Delete empty leaf location	As a user, I want to delete a location only when it is safe.	Location row and picker deletion paths confirm deletion, then StorageLocationDeletionService/AppStore delete only if the location has no child locations and no items.	Cubby/Views/Home/StorageLocationRow.swift; Cubby/Views/Home/StorageLocationPicker.swift; Cubby/Services/StorageLocationDeletionService.swift	StorageLocationDeletionServiceTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Service behavior is covered; context menu/swipe UI still needs direct validation.
F034	Location management	Delete blocked for non-empty locations	As a user, I want Cubby to explain why a location cannot be deleted.	Delete attempts for locations with children or items produce localized "can't be deleted" messages with counts.	Cubby/AppData/CoreDataAppRepository.swift; Cubby/Services/StorageLocationDeletionService.swift	StorageLocationDeletionServiceTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Service-level block and copy are covered; disabled-delete UI still needs direct validation.
F035	Location management	Location picker tree	As a user, I want to pick an item's storage location from a nested tree.	StorageLocationPicker lists root locations, recursively displays children, supports disclosure expansion, selection highlight/checkmark, search that auto-expands matches, Cancel, and Done disabled until selected.	Cubby/Views/Home/StorageLocationPicker.swift	StorageLocationPickerUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator for search, add child, auto-select, and Done flow	None recorded	Not needed	Passed partial	Cancel and disabled Done states still need direct validation.
F036	Location detail	Location detail screen	As a user, I want a focused view of one storage location.	LocationDetailView shows nested child locations, item counts, items in the selected location, the full path as a top safe-area inset, and add actions when mutation is allowed.	Cubby/Views/Home/LocationDetailView.swift; Cubby/Views/Home/HomeView.swift; Cubby/Views/Home/LocationSectionHeader.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator opening the Garage location detail from the compact home list	D004: Compact iPhone home list had no tap path into LocationDetailView; only split-view selection could show the detail.	Fixed compact navigationDestination and made section-header tap open detail while long press still collapses.	Passed after fix	Focused location-detail test, full CoreUserBehaviorUITests class, and HomeSectionCollapseUITests regression passed.
F037	Item creation	Add item required fields	As a user, I want to add an item with at least a name and storage location.	AddItemView disables Save until the trimmed title is non-empty and a location is selected; on title submit it applies preferred location or opens the picker.	Cubby/Views/Items/AddItemView.swift	CubbySnapshotTests; CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator creating an item from an empty home with preferred location applied	None recorded	Not needed	Passed partial	Blank-title disabled state still needs direct assertion.
F038	Item creation	Item save normalization	As a user, I want saved item data to be clean.	On save, title is title-cased, description is trimmed and stored as nil when empty, tags are saved sorted, selected emoji is sanitized to one emoji, and LastUsedLocationService remembers the location.	Cubby/Views/Items/AddItemView.swift; Cubby/AppData/AppStore.swift; Cubby/AppData/CoreDataAppRepository.swift	CoreDataAppRepositoryTests; LastUsedLocationServiceTests; TagTests; CoreUserBehaviorUITests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator for title-casing and base persistence	None recorded	Not needed	Passed partial	Tags, emoji sanitization, and nil-empty-description normalization remain unit-level or unverified in UI.
F039	Item creation	Preferred item location	As a repeat user, I want new items to default to where I last put things.	AddItemView applies the app-store preferred location if no preselected location is set; LastUsedLocationService restores last used location for the same home or falls back to Unsorted.	Cubby/Views/Items/AddItemView.swift; Cubby/Services/LastUsedLocationService.swift	LastUsedLocationServiceTests; CoreUserBehaviorUITests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator for fallback location enabling save in an empty seeded home	None recorded	Not needed	Passed partial	Location detail preselected-location path still needs direct UI validation.
F040	Item creation	Free-tier item limit	As a free user, I want item creation blocked only when I hit the limit.	Free users can create up to 10 owned items per owned home; item creation then shows Cubby Pro Required with Upgrade, Restore Purchases, and Cancel; users already over home limit get overLimit.	Cubby/Services/FeatureGate.swift; Cubby/Views/Items/AddItemView.swift; Cubby/Views/MainNavigationView.swift; Cubby/Views/Home/LocationDetailView.swift	FeatureGateTests; ProPaywallTests partially	Documented from code	UI paywall test and FeatureGate unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Over-home-limit item creation path still needs direct UI validation.
F041	Item creation	Read-only shared add gating	As a read-only collaborator, I should not be able to add items.	AddItemView shows a lock message, disables the form, and save exits when the selected home permission cannot add items.	Cubby/Views/Items/AddItemView.swift; Cubby/Services/HomeSharingService.swift	SharedHomePermissionGatingTests; CoreUserBehaviorUITests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator with MOCK_SHARED_HOMES_READ_ONLY	None recorded	Not needed	Passed	Verified Add Item opens a read-only message and disabled Save.
F042	Item photos	Add photo during item creation	As a user, I want to attach a photo when creating an item.	AddItemView offers Take Photo or Choose from Gallery; selected photos preview in the form and can be removed before save.	Cubby/Views/Items/AddItemView.swift; Cubby/Utils/ImagePicker.swift; Cubby/Utils/PhotoLibraryPicker.swift; Cubby/AppData/AppStore.swift	AppStorePhotoTests	Documented from code	Unit test passed 2026-06-21 on iPhone 16e simulator for selected-image save path	None recorded	Not needed	Passed focused unit retest	Camera/gallery picker presentation still requires device or simulator privacy/system UI validation; persistence path is covered.
F043	Item photos	Photo persistence and rollback	As a user, I want photo files saved only when item saves succeed.	AppStore saves selected photos as compressed JPEGs under Documents/ItemPhotos, caches them, and deletes a newly saved photo if repository item creation or update fails.	Cubby/AppData/AppStore.swift; Cubby/Services/PhotoService.swift	AppStorePhotoTests; AppStoreHomeDeletionTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator for save, load, create rollback, replacement, removal, orphan cleanup, and home-delete cleanup	D011: initial rollback test was order-dependent because Swift Testing ran photo tests in parallel against shared ItemPhotos directory.	Fixed test isolation by serializing AppStorePhotoTests.	Passed focused unit retest	Photo compression is 0.7 JPEG quality.
F044	Item photos	Missing local photo state	As a user on another device, I want Cubby to explain when a synced photo file is missing locally.	If photo metadata exists but PhotoService cannot load an image, detail/edit views show iCloud-slash missing-photo messaging rather than a generic blank image.	Cubby/Views/Items/ItemDetailView.swift; Cubby/Views/Items/ItemEditView.swift; Cubby/Services/SyncedPhotoPresenceState.swift	MissingLocalPhotoUITests; SyncedPhotoPresenceStateTests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Detail placeholder verified; edit-view placeholder still needs direct UI validation.
F045	Item emoji	Deterministic fallback emoji	As a user, I want items to have a visual marker even without manual emoji selection.	When no emoji is selected, AppStore assigns a deterministic fallback emoji from the item UUID; ItemRow and detail views display fallback/pending emoji state.	Cubby/Utils/EmojiPicker.swift; Cubby/AppData/AppStore.swift; Cubby/Views/Items/ItemRow.swift	CubbyTests/EmojiTests.swift: fallback hash and AppStore new-item fallback	Documented and fixed	Passed focused unit test	D012: fallback emoji used randomized Swift hashValue and could change across launches	Fixed	Passed	SearchResultRow uses item emoji or fallback; focused EmojiTests xcresult 2026.06.21_13-48-18 passed.
F046	Item emoji	Manual emoji picker	As a user, I want to choose an emoji for an item.	Add/edit forms present MCEmojiPicker from the emoji button, resign text input first, store only the first emoji-like character, and clear pending AI state when changed in edit.	Cubby/Views/Items/ItemEmojiPickerButton.swift; Cubby/Views/Items/AddItemView.swift; Cubby/Views/Items/ItemEditView.swift	CubbyTests/EmojiTests.swift: create/edit manual emoji persistence	Documented from code	Passed focused unit test	None recorded	No fix required	Passed	External MCEmojiPicker presentation still benefits from manual device smoke testing.
F047	Item emoji	AI emoji enhancement	As a user, I want Cubby to suggest a better emoji when available.	On iOS 26 with FoundationModels support and no manual emoji, new items save with pending AI emoji, then a background coordinator requests one emoji and updates the Core Data item or clears pending on failure/timeout.	Cubby/Views/Home/FoundationModelEmojiService.swift; Cubby/Views/Home/EmojiAssignmentCoordinator.swift; Cubby/AppData/AppStore.swift	CubbyTests/EmojiTests.swift: coordinator success and unavailable fallback paths	Documented from code	Passed focused unit test	None recorded	No fix required	Passed	Live FoundationModels availability remains runtime-dependent; focused EmojiTests xcresult 2026.06.21_13-48-18 passed.
F048	Tags	Tag input normalization	As a user, I want tags to stay consistent.	Tag input lowercases, preserves in-progress word separators while typing, stores spaces as hyphens, removes unsupported characters, trims final hyphens, caps length at 30, rejects invalid/duplicate tags, supports deleting chips, and offers a visible Add Tag action.	Cubby/Views/Items/TagInputView.swift; Cubby/Utils/TagHelpers.swift	TagTests; CoreUserBehaviorUITests	Documented from code	Unit and UI tests passed 2026-06-21 on iPhone 16e simulator for multi-word tag entry, chip display, save, and reopen	D006: Live tag formatting trimmed the separator created by a typed space, so "Emergency Kit" became "emergencykit" instead of "emergency-kit".	Fixed with formatAsTagInput editing formatter plus explicit Add Tag button.	Passed after fix	Focused TagTests, focused tag UI test, and full CoreUserBehaviorUITests class passed.
F049	Tags	Tag suggestions	As a user, I want existing tags suggested while typing.	Add/edit forms request up to 5 suggestions from known item tags that contain the formatted input and are not equal to it; tapping a suggestion adds it.	Cubby/Views/Items/TagInputView.swift; Cubby/Utils/TagSuggestionService.swift	TagTests; CoreUserBehaviorUITests	Documented from code	Unit and UI tests passed 2026-06-21 on iPhone 16e simulator creating a known tag and reusing it from suggestions	D006 initially blocked the UI suggestion story because multi-word seed tags were saved without hyphens.	Fixed tag editing formatter and reran suggestion flow.	Passed after fix	CoreUserBehaviorUITests verifies typed "emer" suggests and adds "emergency-kit".
F050	Item detail	Item detail display	As a user, I want a complete item detail screen.	ItemDetailView shows a large emoji badge, title, optional photo card, optional description, optional tags, location, home, added date, and updated date.	Cubby/Views/Items/ItemDetailView.swift	CubbySnapshotTests; CoreUserBehaviorUITests	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator for seeded and newly-created item detail entry	None recorded	Not needed	Passed partial	Exact metadata fields still need direct assertions.
F051	Item editing	Edit item	As a user, I want to update item details after creation.	ItemEditView loads the current item once, validates title and description length, allows editing title/description/emoji/tags/photo, saves through AppStore.updateItem, and dismisses on success.	Cubby/Views/Items/ItemEditView.swift; Cubby/AppData/AppStore.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator editing an item title and saving	None recorded	Not needed	Passed partial	Description, tags, emoji, photo edit, validation errors, and missing-item state still need direct validation.
F052	Item editing	Edit photo replacement/removal	As a user, I want to change or remove an item photo.	Edit photo menu supports camera, library, and remove; replacing deletes the old local photo after successful save; removing clears photo metadata and deletes the old local file.	Cubby/Views/Items/ItemEditView.swift; Cubby/AppData/AppStore.swift	AppStorePhotoTests	Documented from code	Unit test passed 2026-06-21 on iPhone 16e simulator for replacement deleting old file and removal clearing metadata/deleting file	None recorded	Not needed	Passed focused unit retest	Camera unavailable alert and system picker UI still require simulator/device UI validation.
